Rn,Day,Weekday,Student Location,LocationNumber,Mem,Abs,AttendancePercent,AbsentPercent,County
R001,12-08-20,Wednesday,CONROE ISD,170902,64469,181,99.72,0.28,Montgomery
R002,13-08-20,Thursday,CONROE ISD,170902,64604,1299,97.99,2.01,Montgomery
R003,14-08-20,Friday,CONROE ISD,170902,64690,1917,97.04,2.96,Montgomery
R004,17-08-20,Monday,CONROE ISD,170902,63726,1326,97.92,2.08,Montgomery
R005,18-08-20,Tuesday,CONROE ISD,170902,63747,1310,97.95,2.05,Montgomery
R006,19-08-20,Wednesday,CONROE ISD,170902,63814,1043,98.37,1.63,Montgomery
R007,20-08-20,Thursday,CONROE ISD,170902,63814,930,98.54,1.46,Montgomery
R008,21-08-20,Friday,CONROE ISD,170902,63814,1140,98.21,1.79,Montgomery
R009,24-08-20,Monday,CONROE ISD,170902,63939,1245,98.05,1.95,Montgomery
R0010,25-08-20,Tuesday,CONROE ISD,170902,63980,1179,98.16,1.84,Montgomery
R0011,31-08-20,Monday,CONROE ISD,170902,64014,1923,97,3,Montgomery
R0012,01-09-20,Tuesday,CONROE ISD,170902,64059,1759,97.25,2.75,Montgomery
R0013,02-09-20,Wednesday,CONROE ISD,170902,64085,1680,97.38,2.62,Montgomery
R0014,03-09-20,Thursday,CONROE ISD,170902,64118,1859,97.1,2.9,Montgomery
R0015,04-09-20,Friday,CONROE ISD,170902,64145,1988,96.9,3.1,Montgomery
R0016,08-09-20,Tuesday,CONROE ISD,170902,64268,1701,97.35,2.65,Montgomery
R0017,09-09-20,Wednesday,CONROE ISD,170902,64293,1498,97.67,2.33,Montgomery
R0018,10-09-20,Thursday,CONROE ISD,170902,64303,1731,97.31,2.69,Montgomery
R0019,11-09-20,Friday,CONROE ISD,170902,64312,1966,96.94,3.06,Montgomery
R0020,14-09-20,Monday,CONROE ISD,170902,64360,2159,96.65,3.35,Montgomery
R0021,15-09-20,Tuesday,CONROE ISD,170902,64381,1916,97.02,2.98,Montgomery
R0022,16-09-20,Wednesday,CONROE ISD,170902,64391,1864,97.11,2.89,Montgomery
R0023,17-09-20,Thursday,CONROE ISD,170902,64400,2002,96.89,3.11,Montgomery
R0024,18-09-20,Friday,CONROE ISD,170902,64398,2277,96.46,3.54,Montgomery
R0025,21-09-20,Monday,CONROE ISD,170902,64421,2478,96.15,3.85,Montgomery
